"","phylum","countgroup","taxon","reads_avg_seq","reads_total_n","perc_reads_human","n_contigs","largest_contig","total_length","GC_perc","N50","N75","L50","L75","busco_perc_C","busco_perc_S","busco_perc_D","busco_perc_F","busco_perc_M","mapped_bases","genome_size_est","co1_length","co1_Class","co1_Order","co1_Species"
"59","Arthropoda","Collembola","Folsomia inoculata",146.57,74506441,1.07,81583,71697,164633723,37.37,3346,1446,12013,31063,80.9,80.6,0.3,9.7,9.4,NA,NA,561,"Collembola","Entomobryomorpha","Isotomidae sp. DPCOL28796"
"60","Arthropoda","Collembola","Sminthurinus aureus",147.46,72031644,30.23,50090,135257,302314595,34,15023,6149,5193,13065,86.5,85.3,1.2,6.5,7,NA,NA,683,"Collembola","Symphypleona","Sminthurinus bimaculatus"
"61","Arthropoda","Collembola","Gisinianus flammeolus",147.98,66048118,0.98,23648,279280,213903219,35.94,31668,12195,1722,4483,92.8,91.6,1.2,1.9,5.3,NA,NA,681,"Collembola","Symphypleona","Gisinianus flammeolus"
"62","Arthropoda","Collembola","Pseudosinella alba",147.5,68823257,0.67,183287,280691,334623379,37.94,2575,1246,28262,75809,61.7,58.1,3.6,23.6,14.7,9281492502,580093281.4,662,"Collembola","Entomobryomorpha","Entomobrya atrocincta"
"63","Arthropoda","Collembola","Bilobella braunerae",145.8,63706425,0.07,135066,179693,310704205,36.27,4093,1699,18350,48255,59,56.6,2.4,21.7,19.3,NA,NA,666,"Collembola","Poduromorpha","Neanuridae sp. DPCOL62549"
"64","Arthropoda","Collembola","Vertagopus arboreus",147.17,75449882,0.17,107697,159467,199953470,33.06,2811,1263,15360,42478,65.4,64.3,1.1,20.8,13.8,10713342661,465797507,674,"Collembola","Entomobryomorpha","Isotoma viridis"
"65","Arthropoda","Collembola","Hypogastrura burkilli",146.14,73957970,0.12,94831,263976,215996494,40.84,4070,1623,10880,32414,72.8,71.8,1,12.8,14.4,NA,NA,455,"Collembola","Poduromorpha","uncultured eukaryote"
"66","Arthropoda","Collembola","Lipothrix lubbocki",148.24,70220202,0.5,43032,540016,277320466,34.68,20249,6548,2544,8874,91,89.4,1.6,2.5,6.5,9029596303,4514798152,678,"Collembola","Entomobryomorpha","Homidia socia"
"67","Arthropoda","Collembola","Entomobrya nicoleti",146.67,70318182,0.07,124986,130324,330647988,34.36,5430,2000,13611,39274,75.1,73,2.1,14.9,10,10126955601,675130373.4,681,"Collembola","Entomobryomorpha","Entomobryidae sp. DPCOL68945"
"68","Arthropoda","Collembola","Pogonognathellus flavescens",147.93,67235167,0.05,75260,333093,311296792,33.98,10199,3927,7042,19430,83.3,81.4,1.9,9.1,7.6,NA,NA,680,"Collembola","Entomobryomorpha","Tomocerus sp. SA-2013"
"69","Arthropoda","Collembola","Isotoma viridis",146.7,69732018,0.08,135028,299602,267121495,32.24,3120,1347,16706,50088,64.8,62.9,1.9,21.2,14,10033397501,477780833.4,681,"Collembola","Entomobryomorpha","Isotoma viridis"
"70","Arthropoda","Collembola","Dicyrtomina saundersi",147.2,68075650,0.69,214288,201186,506134237,34.72,3846,1808,32953,81200,80.3,79.3,1,9.8,9.9,NA,NA,686,"Collembola","Symphypleona","Dicyrtomina ornata"
"71","Arthropoda","Collembola","Lepidocyrtus cyaneus",146.5,67372291,0.13,162755,77166,255310856,38.19,2076,1067,29726,73276,63.4,61.6,1.8,22,14.6,9315437021,547966883.6,675,"Collembola","Entomobryomorpha","Lepidocyrtus cyaneus"
"72","Arthropoda","Collembola","Willowsia buski",147.16,65072028,0.06,111421,185866,322401694,35.43,5835,2382,13458,35248,83.4,82,1.4,8.9,7.7,9323999434,517999968.6,682,"Collembola","Entomobryomorpha","Willowsia buskii"
"73","Arthropoda","Collembola","Willowsia nigromaculata",147.38,81983464,0.14,57622,238223,335741602,35.58,14199,5549,5424,15036,88.6,87.2,1.4,5.3,6.1,NA,NA,680,"Collembola","Entomobryomorpha","Paronellidae sp. DPCOL76388"
"74","Arthropoda","Collembola","Paratullbergia callipygos",147.45,71947179,0.12,176417,35444,260476162,39.11,1927,1049,38108,84134,36.9,30.7,6.2,33.7,29.4,NA,NA,505,"Collembola","Poduromorpha","uncultured eukaryote"
"75","Arthropoda","Collembola","Protaphorura quadriocellata",147.24,72320211,0.16,186330,124906,392061562,37.37,3395,1546,28152,71474,72.4,71.5,0.9,15.1,12.5,10362717399,0,378,"Collembola","Poduromorpha","uncultured metazoan"
"76","Arthropoda","Collembola","Protaphorura quadriocellata",147.65,70610404,0.1,174513,123117,392824805,37.38,3782,1667,24345,63985,73.6,72.1,1.5,13.7,12.7,NA,NA,651,"Collembola","Poduromorpha","Protaphorura armata"
"77","Arthropoda","Collembola","Protaphorura armata",147.97,69577380,0.09,191485,149262,346765916,36.77,2643,1266,31703,79685,46.7,41.8,4.9,30.2,23.1,NA,NA,682,"Collembola","Poduromorpha","Protaphorura sp. SA-2013"
"78","Arthropoda","Collembola","Collembola",147.81,69229418,0.06,89519,187138,275245309,34.14,6558,2523,9725,26855,83.8,82.5,1.3,9,7.2,NA,NA,680,"Collembola","Entomobryomorpha","Entomobrya multifasciata"
"79","Arthropoda","Collembola","Collembola",147.85,64205957,0.11,128363,126889,301025675,35.74,4160,1733,16728,45264,80.4,78.5,1.9,11.5,8.1,NA,NA,683,"Collembola","Entomobryomorpha","Homidia sinensis"
"80","Arthropoda","Collembola","Agrenia bidenticulata",147.12,73868048,0.06,101706,412229,411396600,30.95,10359,3285,7763,26158,93.3,92.3,1,1.3,5.4,NA,NA,679,"Collembola","Entomobryomorpha","Homidia sp. 1 FZ-2014"
"81","Arthropoda","Collembola","Isotomurus maculatus",147.69,69956010,0.04,71490,232738,177476601,39.34,4727,1874,8269,23409,74.4,73.3,1.1,13.4,12.2,NA,NA,681,"Collembola","Entomobryomorpha","Isotomurus cf. palustris MM-2005"
"82","Arthropoda","Collembola","Hypogastrura burkilli",146.83,72867816,0.05,77940,249384,216033958,40.79,5253,2202,9277,25316,75,73.9,1.1,11.3,13.7,NA,NA,682,"Collembola","Poduromorpha","Hypogastrura burkilli"
"83","Arthropoda","Collembola","Isotoma decorata",144.89,70249795,0.1,165933,203684,314863068,33.83,2860,1326,24754,65694,62,58.7,3.3,21.4,16.6,NA,NA,684,"Collembola","Entomobryomorpha","Entomobrya clitellaria"
"84","Arthropoda","Collembola","Folsomia penicula",139.54,8000787,0.34,58186,33253,117331710,39.64,2748,1538,12480,26742,65.8,65.7,0.1,17,17.2,1048158785,209631757,653,"Collembola","Entomobryomorpha","Folsomia quadrioculata"
"85","Arthropoda","Collembola","Folsomia penicula",122.28,9851738,5.3,6769,15175,4200560,43.12,584,533,2842,4731,0.1,0.1,0,1,98.9,431582602,431582602,682,"Collembola","Entomobryomorpha","Folsomia quadrioculata"
"86","Arthropoda","Collembola","Folsomia penicula",128.92,13472687,0.34,55023,53997,125546130,39.47,3381,1808,10813,23479,67.7,67.5,0.2,17.4,14.9,1577195694,262865949,682,"Collembola","Entomobryomorpha","Folsomia quadrioculata"
"87","Arthropoda","Collembola","Ceratophysella denticulata",137.05,42683288,15.53,56560,71175,184963726,39.98,6743,2883,7050,17611,78.3,77,1.3,11.6,10.1,3116114737,3116114737,681,"Collembola","Poduromorpha","Ceratophysella denticulata"
"88","Arthropoda","Collembola","Isotomiella minor",137.14,21627596,6.7,35974,79999,137611220,40.86,8266,3279,4223,10906,91.8,90.9,0.9,3.2,5,2146647618,2146647618,680,"Collembola","Entomobryomorpha","Isotomiella minor"
"89","Arthropoda","Collembola","Isotomurus plumosus",132.61,19915649,10.95,66104,83885,109364214,38.41,2091,1206,14660,31943,59.3,59,0.3,21.8,18.9,1776240837,444060209.3,673,"Collembola","Entomobryomorpha","Isotoma viridis"
"90","Arthropoda","Collembola","Mesaphorura macrochaeta",125.23,3509763,17.05,301,4086,204830,56.06,630,550,116,204,NA,NA,NA,NA,NA,28471746,14235873,237,"Chilopoda","Lithobiomorpha","uncultured eukaryote"
"91","Arthropoda","Collembola","Parisotoma notabilis",140.02,28927399,1.08,107411,47248,182710377,44.06,2356,1210,20828,48096,60.8,57.3,3.5,22,17.2,3790011686,315834307.2,679,"Collembola","Poduromorpha","Mesaphorura macrochaeta"
"92","Arthropoda","Collembola","Isotoma viridis",118.38,28206556,0.5,75300,49800,198871241,32.43,4407,2022,12139,28948,67.5,67.1,0.4,17.3,15.2,NA,NA,685,"Collembola","Entomobryomorpha","Isotoma viridis"
"93","Arthropoda","Collembola","Heteromurus nitidus",128.69,42756270,0.46,36243,303373,211418206,38.54,18662,6056,2339,7437,90.9,90.2,0.7,3.2,5.9,NA,NA,671,"Collembola","Entomobryomorpha","Heteromurus nitidus"
"94","Arthropoda","Collembola","Isotomurus unifasciatus",102.44,23219514,3.04,90265,18371,126119791,38.91,1695,1031,22901,46802,38.5,38.4,0.1,32.6,28.9,NA,NA,681,"Collembola","Entomobryomorpha","Isotomurus palustris"
"95","Arthropoda","Collembola","Proisotoma minuta",125.91,23660902,0.51,19548,188917,116726678,34.56,16170,5510,1731,4854,92.1,91.1,1,2.1,5.8,NA,NA,675,"Collembola","Entomobryomorpha","Folsomia bisetosa"
"96","Arthropoda","Collembola","Protaphorura fimata",131.12,32324995,0.28,92269,30218,93173859,36.42,1068,744,27720,53973,10.8,10.8,0,30.7,58.5,NA,NA,682,"Collembola","Poduromorpha","Protaphorura fimata"
"97","Arthropoda","Collembola","Protaphorura tricampata",124.31,36915503,21.87,84522,116667,225014258,36.76,4323,1978,12679,32201,76.1,75.5,0.6,13,10.9,NA,NA,682,"Collembola","Poduromorpha","Protaphorura janosik"
"98","Arthropoda","Collembola","Lepidocyrtus violaceus",121.09,29324115,0.5,51792,49631,202770814,37.97,6505,3416,9242,19942,85.3,84.5,0.8,7.5,7.2,NA,NA,676,"Collembola","Entomobryomorpha","Lepidocyrtus cyaneus"
"99","Arthropoda","Collembola","Sinella curviseta",119.31,19985554,0.49,215388,32228,231200925,36.76,1166,799,64064,124159,21.1,21,0.1,41.2,37.7,NA,NA,681,"Collembola","Entomobryomorpha","Homidia cf. laha 4370"
"100","Arthropoda","Collembola","Tetrodontophora bielanensis",122.95,34034990,2.19,153034,39849,159168272,32.22,1081,735,41929,86870,3.7,3.7,0,13.1,83.2,NA,NA,682,"Collembola","Poduromorpha","Tetrodontophora bielanensis"
"101","Arthropoda","Collembola","Thalassaphorura encarpata",131.19,30567674,0.28,61373,144612,211630476,36.74,7117,2656,6700,19185,88.6,87.2,1.4,5.1,6.3,NA,NA,682,"Collembola","Poduromorpha","Thalassaphorura sp. YB-2013"
"102","Arthropoda","Collembola","Tomocerus minor",126.03,20028915,0.29,95944,71518,202725402,35.08,3692,1409,12130,35436,64.9,64.4,0.5,19.5,15.6,NA,NA,680,"Collembola","Entomobryomorpha","Tomocerus minor"
"103","Arthropoda","Collembola","Isotoma viridis",131.59,53195587,9.04,74833,65815,217712265,32.31,5775,2434,10017,24427,78,77,1,11,11,NA,NA,602,"Collembola","Entomobryomorpha","Entomobryomorpha sp. 1 SF-2017"
"104","Arthropoda","Collembola","Protaphorura tricampata",131.31,61391809,36.62,142174,32363,246139756,36.76,2377,1231,27563,63885,59.4,58.8,0.6,23.2,17.4,NA,NA,682,"Collembola","Poduromorpha","Protaphorura janosik"
"105","Arthropoda","Collembola","Ceratophysella denticulata",134.32,70421522,0.59,89135,91750,207418685,39.06,4354,1688,10411,30120,71.1,69.9,1.2,17.8,11.1,9105141195,505841177.5,682,"Collembola","Poduromorpha","Ceratophysella denticulata"
"106","Arthropoda","Collembola","Isotomiella minor",129.49,54694968,1.79,74315,208804,155004536,36.3,3360,1532,11136,28336,81.4,80.6,0.8,10,8.6,NA,NA,503,"Collembola","Entomobryomorpha","Folsomia fimetaria L1"
"107","Arthropoda","Collembola","Mesaphorura macrochaeta",111.78,15647695,40.67,1604,10461,1222518,47.12,710,576,551,1034,NA,NA,NA,NA,NA,NA,NA,481,"Collembola","Poduromorpha","Ceratophysella aff. denticulata L3"
"108","Arthropoda","Collembola","Parisotoma notabilis",131.55,44444279,1.09,124024,40847,180669585,34.05,1860,1007,25653,58969,47.1,44.4,2.7,32.1,20.8,NA,NA,682,"Collembola","Entomobryomorpha","Parisotoma aff. notabilis L0"
"109","Arthropoda","Collembola","Neelus murinus",115.5,11664868,49.86,568,3018,384606,53.74,636,556,224,386,0,0,0,0,100,NA,NA,237,"Chilopoda","Lithobiomorpha","uncultured eukaryote"
"110","Arthropoda","Collembola","Sminthurinus elegans",133.67,64707621,0.64,223680,103258,363340845,33.37,2216,1140,42801,100367,63.6,63.3,0.3,22.6,13.8,8396694258,699724521.5,686,"Collembola","Symphypleona","Sminthurinus elegans"
