"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Nematoda",9113817,83014,102703006,1387,0.0600000000000023,70.4,19.7,9.9,29.6
"Collembola",8000787,58186,117331710,2748,0.340000000000003,17.2,65.8,17,82.8
"Oribatida",7598491,19426,17087895,841,1.89,87.6,6.8,5.6,12.4
"Nematoda",8308361,69279,109935003,1986,0.359999999999999,79.2,18,2.8,20.8
"Nematoda",8070669,58978,58241676,1043,2.66,87.5,6.6,5.9,12.5
"Nematoda",8686856,66404,63595833,1007,1.84999999999999,86.2,7.6,6.2,13.8
"Nematoda",12143108,78182,106408470,1588,0.25,68.5,22.1,9.4,31.5
"Collembola",9851738,6769,4200560,584,5.3,98.9,0.1,1,1.1
"Collembola",13472687,55023,125546130,3381,0.340000000000003,14.9,67.7,17.4,85.1
"Oribatida",15014672,85773,91292971,1148,1.62,50.1,36.7,13.2,49.9
"Oribatida",14260326,74001,73459831,1039,1.87,60.2,26.6,13.2,39.8
"Collembola",NA,75300,198871241,4407,0.5,15.2,67.5,17.3,84.8
"Collembola",NA,74833,217712265,5775,9.04000000000001,11,78,11,89
"Collembola",NA,51792,202770814,6505,0.5,7.2,85.3,7.5,92.8
"Oribatida",NA,20690,90126144,7748,NA,7.2,90.1,2.7,92.8
"Oribatida",NA,23284,98594451,9695,1.40000000000001,9.7,88.9,1.4,90.3
"Oribatida",NA,44640,127124770,4823,3.20999999999999,7.2,91,1.8,92.8
"Acari",NA,86063,96419321,1250,2.14,67.1,20.4,12.5,32.9
"Nematoda",NA,35217,160337222,8780,0.340000000000003,15.2,79.6,5.2,84.8
"Nematoda",NA,31209,164152979,11760,0.400000000000006,12.1,84,3.9,87.9
"Nematoda",NA,62058,192263375,4909,0.170000000000002,24.1,72.1,3.8,75.9
"Oribatida",NA,36629,100618427,4123,5.04000000000001,5.8,92.4,1.8,94.2
"Oribatida",NA,52287,56471865,1182,17.08,36.3,50,13.7,63.7
